service_id,date,exception_type
1,20260619,2
1,20260626,2
1,20260703,2
1,20260710,2
1,20260717,2
1,20260724,2
1,20260731,2
1,20260807,1
2,20260618,2
2,20260619,2
2,20260625,2
2,20260626,2
2,20260702,2
2,20260703,2
2,20260709,2
2,20260710,2
2,20260716,2
2,20260717,2
2,20260723,2
2,20260724,2
2,20260730,2
2,20260731,2
2,20260806,1
2,20260807,1
3,20260619,2
3,20260703,2
4,20260619,2
4,20260703,2
5,20260619,1
5,20260703,1
7,20260618,2
7,20260625,2
7,20260702,2
7,20260709,2
7,20260716,2
7,20260723,2
7,20260730,2
7,20260806,1
4-1,20260618,2
4-1,20260702,2
5-1,20260618,1
5-1,20260702,1
